team,tournament,year,confederation,elo_entering,fifa_rank_entering,draw_difficulty,rounds_reached,host_nation,squad_avg_age,squad_age_sd,pct_under_23,pct_over_30,herfindahl_league,pct_domestic_league,pct_big5_league,pct_same_club,avg_intl_caps,avg_intl_mins,lineup_consistency,manager_tenure_months,core_xi_stability,PPDA_approx,set_piece_goal_pct,counter_goal_pct,friendly_record_last3m,competitive_pts_per_game_last12m,odds_implied_prob,goals_for,goals_against,xG_for_total,xGA_total,data_quality
Russia,WC,2018,UEFA,1620,70,4,2,1,28.0,3.6,0.12,0.28,0.38,0.90,0.10,0.20,40,2400,0.82,24,0.80,10.2,0.34,0.26,1.6,1.6,0.05,11,7,7.0,8.0,estimated
Morocco,WC,2022,CAF,1750,22,3,3,0,26.5,3.5,0.16,0.18,0.20,0.04,0.65,0.16,38,2300,0.88,30,0.86,9.5,0.34,0.30,1.9,2.0,0.07,6,5,5.0,5.5,estimated
Japan,WC,2022,AFC,1720,24,3,1,0,27.5,3.4,0.12,0.26,0.28,0.40,0.40,0.16,42,2500,0.76,42,0.74,10.4,0.28,0.34,1.7,1.7,0.05,5,4,4.0,4.5,estimated
South Korea,WC,2022,AFC,1700,28,2,1,0,27.0,3.5,0.16,0.20,0.32,0.42,0.32,0.18,40,2400,0.74,18,0.72,10.6,0.26,0.26,1.6,1.6,0.04,5,8,4.5,7.0,estimated
Australia,WC,2022,AFC,1660,38,3,2,0,27.5,3.6,0.14,0.22,0.26,0.30,0.25,0.16,35,2100,0.80,72,0.78,10.8,0.30,0.24,1.5,1.5,0.03,3,4,3.0,4.5,estimated
Saudi Arabia,WC,2022,AFC,1560,51,4,0,0,28.5,3.4,0.08,0.30,0.45,0.98,0.05,0.22,55,3400,0.84,48,0.82,11.0,0.30,0.30,1.4,1.4,0.02,3,5,2.5,5.5,estimated
France,WC,2022,UEFA,1960,4,2,4,0,26.0,3.5,0.24,0.14,0.10,0.10,0.92,0.14,45,2800,0.74,48,0.72,8.6,0.22,0.32,2.2,2.3,0.40,16,8,13.0,7.5,estimated
Argentina,WC,2022,CONMEBOL,1970,3,3,5,0,28.0,3.8,0.12,0.28,0.16,0.10,0.78,0.16,50,3100,0.82,42,0.80,8.4,0.30,0.26,2.4,2.5,0.20,15,8,12.5,7.0,estimated
Brazil,WC,2022,CONMEBOL,1980,1,3,2,0,27.5,3.6,0.14,0.22,0.12,0.08,0.85,0.14,52,3200,0.72,24,0.70,8.0,0.24,0.26,2.5,2.6,0.42,8,3,9.0,3.5,estimated
Germany,WC,2022,UEFA,1920,11,2,0,0,27.0,3.5,0.18,0.20,0.10,0.22,0.90,0.20,52,3200,0.64,30,0.62,8.2,0.22,0.16,1.9,2.0,0.32,6,5,7.5,4.5,estimated
Belgium,WC,2022,UEFA,1910,2,3,0,0,29.0,3.8,0.10,0.36,0.14,0.06,0.82,0.16,58,3600,0.66,72,0.64,8.6,0.24,0.26,1.8,1.9,0.30,1,2,3.0,3.5,estimated
Uruguay,WC,2022,CONMEBOL,1830,13,2,0,0,28.5,4.0,0.12,0.34,0.18,0.10,0.72,0.16,55,3400,0.70,12,0.68,8.8,0.28,0.24,1.7,1.7,0.10,2,2,3.5,2.5,estimated
Senegal,AFCON,2021,CAF,1750,20,3,5,0,26.5,3.4,0.16,0.18,0.18,0.04,0.72,0.16,32,1900,0.86,40,0.84,9.4,0.30,0.28,1.9,2.0,0.18,11,3,9.0,4.0,estimated
Egypt,AFCON,2021,CAF,1700,45,3,4,0,27.0,3.5,0.14,0.22,0.24,0.55,0.30,0.30,45,2700,0.82,12,0.80,9.8,0.28,0.30,1.7,1.7,0.10,8,5,6.5,5.0,estimated
Burkina Faso,AFCON,2021,CAF,1560,60,4,3,0,26.0,3.2,0.20,0.14,0.30,0.30,0.30,0.18,28,1700,0.80,24,0.78,10.5,0.32,0.28,1.4,1.4,0.04,7,6,4.5,5.5,estimated
Gambia,AFCON,2021,CAF,1480,150,5,2,0,25.5,3.0,0.24,0.10,0.35,0.20,0.35,0.16,18,1100,0.82,30,0.80,10.8,0.30,0.26,1.2,1.2,0.02,5,4,3.0,4.0,estimated
Tunisia,AFCON,2021,CAF,1650,30,3,1,0,27.5,3.5,0.12,0.24,0.26,0.45,0.35,0.18,42,2500,0.78,18,0.76,10.0,0.30,0.24,1.5,1.5,0.06,4,3,3.5,3.5,estimated
Ghana,AFCON,2021,CAF,1620,52,3,0,0,26.0,3.4,0.20,0.16,0.20,0.10,0.55,0.16,30,1800,0.66,6,0.64,9.8,0.24,0.24,1.4,1.4,0.07,3,4,3.0,4.0,estimated
Algeria,AFCON,2021,CAF,1720,29,2,0,0,28.0,3.6,0.10,0.28,0.22,0.20,0.55,0.18,48,2900,0.68,42,0.66,9.6,0.26,0.26,1.6,1.6,0.20,1,3,2.5,3.5,estimated
Argentina,Copa,2021,CONMEBOL,1900,5,3,5,0,28.0,3.8,0.14,0.26,0.16,0.10,0.75,0.16,48,2900,0.84,30,0.82,8.6,0.30,0.26,2.1,2.2,0.25,12,3,10.0,4.0,estimated
Brazil,Copa,2021,CONMEBOL,1960,2,3,4,1,27.0,3.6,0.16,0.20,0.12,0.20,0.82,0.14,50,3100,0.78,24,0.76,8.2,0.24,0.26,2.4,2.5,0.45,13,3,11.0,4.0,estimated
Colombia,Copa,2021,CONMEBOL,1760,15,3,3,0,28.0,3.7,0.12,0.26,0.20,0.25,0.50,0.16,45,2700,0.80,18,0.78,9.4,0.28,0.26,1.6,1.6,0.10,7,6,5.5,6.0,estimated
Ecuador,Copa,2021,CONMEBOL,1700,46,4,2,0,25.5,3.2,0.26,0.12,0.28,0.45,0.35,0.16,32,1900,0.78,18,0.76,9.8,0.26,0.30,1.5,1.5,0.05,6,7,5.0,6.5,estimated
